"","Nov","Div","Dit","LEA","L_A","AES","E_I","ENT","RES","EMO","I_S","PRA","O_P","MET","FAC","I_E","FAM","DEF","G_M","INT","S_S","V_S","T_M","REN","SOC","DIS","HAR","T_E"
"1",4,5,6,5,6,7,7,5,6,5,7,7,5,5,9,2,7,4,6,3,4,6,9,8,7,9,9,5
"2",7,4,5,7,9,5,6,8,7,6,7,5,4,5,7,2,0,7,4,5,9,2,6,6,7,8,6,5
"3",5,6,5,1,3,9,4,2,6,5,8,6,5,7,6,2,8,2,6,2,0,7,9,9,7,4,10,3
"4",10,9,5,8,9,8,10,8,8,5,1,5,8,6,5,6,4,3,6,7,2,2,0,6,6,3,6,1
"5",3,5,5,6,4,2,7,4,6,2,6,7,5,6,7,5,7,6,5,2,7,1,8,9,5,8,7,7
"6",7,8,8,8,6,9,6,6,6,5,13,7,5,6,6,3,4,9,3,4,8,4,11,9,10,10,9,5
"7",7,7,8,8,5,7,6,2,5,3,12,7,9,5,4,4,4,8,4,5,9,2,11,10,9,10,8,7
"8",6,6,7,9,7,6,7,4,4,7,13,7,7,5,8,3,3,8,1,3,10,1,11,11,10,8,8,7
"9",5,7,4,9,5,6,7,6,5,5,12,8,4,4,7,4,4,7,4,5,8,4,10,10,10,8,6,7
"10",7,6,6,9,6,5,8,6,6,5,11,8,4,4,6,3,4,9,5,3,8,2,9,11,10,8,10,6
"11",5,6,6,8,4,7,6,5,5,8,10,8,4,4,7,1,4,8,4,7,6,2,6,9,8,7,8,8
"12",6,6,7,7,8,9,6,5,4,5,8,6,6,4,7,4,5,8,4,3,9,4,11,10,6,8,7,4
"13",5,7,4,5,4,5,7,7,8,8,8,4,3,4,8,7,5,5,4,5,5,5,9,7,5,6,9,3
"14",6,7,8,8,5,6,4,7,5,4,9,5,4,6,8,3,5,7,2,4,8,4,9,8,6,9,7,5
"15",6,7,5,6,6,7,7,3,6,7,12,5,3,3,7,5,0,6,4,4,8,3,8,7,7,8,6,5
"16",4,8,6,4,6,7,10,5,5,4,4,6,6,6,5,0,7,5,8,6,5,4,9,8,9,6,11,5
